GyZ,GyY,GyX,Tmp,AcZ,AcY,AcX
156.05,12.95,-377.65,25.92294,8.0,237.6,277.6
183.95,105.05,-396.65,25.93,-32.59961,-42.40003,29.19998
151.6,62.10001,-393.9,25.89,-44.79883,120.8,196.4
8.95,148.5,-405.25,25.95824,-28.0,66.0,166.0
6.25,97.90001,-399.35,25.94412,1.800781,60.19998,176.2
7.1,109.85,-391.25,25.93941,-36.59961,90.4,152.4
5.6,97.50001,-391.7,25.93,-43.59961,99.4,188.6
162.3,90.30002,-400.65,25.97941,-51.79883,316.4,418.4
1284.15,79.55,-405.9999,26.01,-31.39844,-110.2,0.6000366
1594.65,96.15001,-416.1,25.88058,-23.00391,-41.60001,42.59992
586.4,121.0,-405.65,25.92294,-10.59961,-11.0,475.0
947.9499,77.45,-404.35,25.89235,-55.0,132.6,-98.79999
18.45,31.6,-394.95,25.91353,-38.0,68.60001,103.2
7.050001,63.29999,-406.3499,25.91352,-59.40039,103.6,211.6
8.75,110.75,-395.8,25.93471,-14.40039,116.6,184.8
8.3,91.74998,-398.4,25.89941,-21.19922,100.8,156.2
363.35,1.000001,-399.85,25.92059,-89.19922,275.4,799.6
913.9,162.25,-412.85,25.92529,-38.80078,11.39999,165.2
28.2,197.35,-406.85,26.01235,-30.0,58.00002,102.0
11.45,236.45,-403.85,25.92059,-51.59961,106.6,154.5999
919.85,496.2,-639.95,25.98412,-120.0,-16.59999,242.0
831.95,3079.4,-1362.6,25.98177,153.1523,-149.0,36.59998
2111.25,7703.75,-1018.4,25.98882,-30.0,65.60001,-195.2
1145.55,6408.199,-900.4,25.93,-198.6016,-296.1999,-1808.2
-71.45,6472.75,-659.75,25.99353,-301.002,-134.0,-2536.4
-538.8,6924.85,-528.6,25.87823,-415.4004,-262.2,-3196.6
-248.5,5595.85,-490.3,25.97706,-563.0,-364.3999,-3695.2
6.749997,6577.8,-629.1,25.92764,-741.3984,-142.0,-4621.2
226.4,4169.65,-612.25,25.88529,-910.1992,-369.9999,-4919.6
232.35,3506.95,-533.7,25.96059,-1058.6,-237.5999,-5318.0
196.8,3665.95,-600.65,25.88058,-1332.799,-301.2,-5799.2
24.85,4511.15,-531.7499,25.8947,-1361.6,-362.0001,-6114.4
119.85,4555.4,-509.6,25.92529,-1759.001,-305.1999,-6829.8
326.4,3385.3,-625.85,25.9347,-1797.0,-411.6,-7093.2
75.35001,1922.1,-422.4,25.97,-2047.802,-368.4,-7386.6
177.8,2055.35,-433.3499,25.90882,-2166.399,-222.6,-7616.199
325.35,3432.65,-597.2,25.89,-2302.2,-331.2,-7846.2
479.95,2058.85,-689.65,25.92529,-2435.999,-324.0,-8077.399
286.65,1366.35,-386.4,26.02176,-2553.0,-251.8,-8281.401
134.45,2185.8,-321.65,25.93941,-2626.4,-317.6,-8370.4
280.75,2203.05,-504.0999,25.96764,-2715.4,-310.4,-8631.4
206.55,2326.25,-539.25,25.98176,-2890.001,-301.0,-8792.0
306.4,3466.8,-648.5001,26.00294,-3159.8,-312.0,-9097.4
110.05,3462.45,-550.4499,26.11588,-3351.599,-303.0,-9484.599
285.25,4953.55,-681.85,25.94647,-3617.2,-327.0,-9810.799
84.85001,2344.25,-538.1,25.91824,-3961.4,-294.4,-10193.0
4.849999,1862.95,-475.45,26.02176,-4025.801,-451.0001,-10254.2
-60.35,1684.35,-445.1,25.9253,-4240.2,-336.2,-10469.4
-75.0,2038.5,-451.75,25.93941,-4366.001,-440.3999,-10605.4
121.95,2664.55,-550.6999,25.92059,-4696.599,-363.2,-10956.0
349.95,3326.1,-875.2501,25.91353,-4806.2,-334.6,-11044.4
176.45,2539.45,-650.2999,25.90647,-4871.601,-387.9999,-11242.8
1.85,1129.8,-472.0,25.92764,-5241.799,-444.8,-11543.2
-11.9,1399.25,-358.3,25.88294,-5200.601,-395.8,-11515.2
19.55,1340.15,-516.65,26.05941,-5349.0,-385.2,-11672.8
84.24999,1954.2,-576.8999,25.99588,-5589.799,-344.1999,-11883.2
140.1,2643.3,-738.3,25.93471,-5573.2,-356.6,-11878.8
18.65,996.0499,-483.95,25.96765,-5883.4,-415.4001,-12159.6
-10.6,1331.2,-427.3499,25.88529,-6043.0,-404.6,-12252.2
78.29999,1347.9,-507.1,25.88058,-6130.599,-480.4,-12270.6
41.35,1057.7,-398.1,26.06412,-6297.2,-414.0,-12535.4
23.0,603.7999,-393.15,25.88529,-6353.2,-419.2,-12493.2
-49.85,696.05,-342.3,25.97,-6361.601,-406.4,-12513.0
90.95,1892.35,-515.35,25.89941,-6557.2,-360.0,-12618.6
183.05,1058.55,-537.2499,25.91353,-6664.999,-460.6,-12708.4
87.45001,714.0999,-370.05,25.92294,-6666.199,-404.4,-12715.6
71.95001,437.6501,-380.5,26.07118,-6737.199,-438.3999,-12769.8
117.35,421.15,-379.2,25.93235,-6739.0,-437.4,-12795.0
205.8,109.05,-388.4,25.97706,-6792.599,-353.2,-12799.0
175.45,388.8499,-331.05,25.88529,-6719.2,-341.6,-12832.2
265.95,368.45,-281.3,25.94647,-6765.0,-328.3999,-12815.0
209.5,245.5,-351.05,25.88765,-6843.801,-298.8,-12861.6
194.75,390.5,-258.0,25.88764,-6846.0,-284.0,-12872.2
214.4,200.0,-391.2,25.93941,-6831.799,-269.0,-12887.2
283.75,254.4,-460.7,25.89,-6858.399,-241.6,-12904.0
165.6,228.4,-404.65,25.92529,-6896.6,-210.4,-12916.6
177.45,-67.9,-395.8,25.91588,-6928.201,-177.4001,-12926.2
128.85,-322.4,-346.0,25.97,-6897.999,-198.2,-12944.2
83.69999,-208.55,-322.5,26.01235,-6777.801,-146.2,-12831.6
72.0,322.2,-347.1001,25.92765,-6848.599,-174.2,-12893.2
35.5,410.8,-142.85,25.95118,-6779.8,-149.6,-12894.2
31.65,411.2,-268.55,25.91353,-6830.001,-134.8,-12946.2
60.65001,59.15,-327.5,25.89,-6903.6,-102.2,-12910.2
23.6,112.3,-329.5501,25.94412,-6838.0,-90.59998,-12882.6
61.05,171.55,-389.8,25.93235,-6877.799,-102.4,-12911.2
26.95,369.2,-384.5,25.92294,-6845.6,-110.4,-12885.4
55.4,284.75,-382.2,26.00529,-6921.8,-117.6,-12964.4
39.40001,208.75,-371.5,25.91823,-6933.4,-100.0,-12896.8
44.30001,102.3,-370.95,25.93235,-6931.6,-102.0,-12941.0
10.2,209.8,-361.25,25.94177,-6910.801,-69.80002,-12949.8
16.4,171.45,-367.7,25.88058,-6942.2,-66.59997,-12958.4
12.65,25.5,-316.35,25.93235,-6924.4,-76.80002,-12923.8
55.70001,86.45,-344.65,25.90176,-6912.2,-69.80002,-12930.6
82.30001,161.95,-419.65,25.87118,-6943.799,-66.80002,-12972.4
96.25,-0.7500005,-400.65,25.92294,-6854.199,-92.4,-12916.6
51.55,190.5,-376.5,26.10177,-6922.399,-62.60001,-12921.8
31.10001,160.05,-354.65,26.01235,-6893.2,-59.4,-12926.2
42.8,212.9,-387.9,25.93941,-6881.599,-38.0,-12927.0
53.5,371.0,-394.6,26.02412,-6978.399,-43.59998,-12950.8
67.55,135.4,-393.05,25.97941,-6988.0,-24.40001,-12966.2
52.6,22.95,-359.9,25.94177,-6934.002,7.199997,-12935.2
16.9,576.45,-349.25,25.93235,-6943.6,-6.600021,-12973.0
79.35001,-114.3,-354.85,26.06882,-6979.801,-43.4,-12984.8
62.6,187.65,-406.9,25.98411,-6912.199,8.200012,-12943.4
54.9,-11.35,-463.5001,25.98412,-6986.799,-7.0,-12998.4
31.15,-136.2,-435.2,26.01,-6963.399,-8.600021,-12971.2
30.95,-101.9,-427.45,25.89235,-6936.2,-3.800003,-12935.8
9.4,7.900001,-394.3501,25.98647,-6946.6,8.799988,-12955.6
16.4,505.8,-404.55,25.89706,-6914.399,-16.40002,-12923.4
10.0,341.6,-404.2,26.02412,-6966.2,-7.399994,-12976.6
16.25,24.0,-417.7999,25.97941,-6979.199,-8.800018,-12989.4
17.6,-70.45,-423.85,25.93941,-6953.399,-22.4,-12974.0
15.05,148.65,-403.9,25.98882,-6983.2,20.20001,-12968.6
11.55,171.75,-400.8,26.07353,-6992.2,9.600006,-12946.2
6.05,133.85,-397.95,25.98176,-6969.2,-8.600006,-12939.2
33.45,123.55,-436.0,25.92765,-6985.799,-6.999985,-12973.6
4.7,-73.2,-392.95,26.02412,-6966.001,-15.59999,-12996.0
10.7,-61.49999,-390.45,25.98882,-6942.6,-0.5999908,-12945.0
2.1,95.0,-399.9,25.98412,-6876.4,-7.599991,-12920.2
11.75,435.0,-405.6999,25.97471,-6946.599,-5.599991,-12946.2
50.0,8.199995,-455.85,25.95353,-6931.801,2.199997,-12958.4
11.6,-168.85,-406.3,25.94882,-6924.599,-4.0,-12969.8
11.7,282.95,-404.5499,25.98882,-6890.0,6.800018,-12875.4
7.0,157.55,-401.55,25.88765,-6933.2,-3.399994,-12976.2
8.8,217.0,-399.3,25.97,-6919.999,6.599991,-12943.2
10.05,79.50002,-395.7,26.05941,-6949.2,-9.000015,-12980.0
0.6499999,235.0,-395.3,25.9347,-6936.6,28.8,-12915.4
3.6,24.74999,-385.95,26.0853,-6965.399,1.799973,-12985.6
8.25,125.45,-405.8,25.9347,-6895.2,-1.800018,-12927.8
6.25,204.05,-400.3,26.00294,-6976.599,-2.199982,-12971.4
7.5,-29.95001,-395.6,26.06412,-6974.0,3.0,-12954.6
13.6,199.5,-401.1,26.11353,-6960.999,4.600006,-12940.2
16.85,98.84999,-412.2,26.07588,-6978.799,-8.600006,-12982.0
8.849999,250.75,-402.4001,26.02176,-6947.402,10.19997,-12956.0
7.349999,302.0,-399.45,26.09,-6929.001,19.39999,-13005.0
7.65,49.15,-395.1499,26.06647,-6969.601,27.39998,-12970.2
3.75,-70.3,-392.5,25.98647,-6982.8,4.0,-12986.8
9.65,193.55,-396.65,25.97706,-6921.801,12.40003,-12990.6
13.55,-183.3,-415.65,25.89235,-6922.399,0.1999969,-12969.6
11.05,127.95,-399.4,25.98412,-6946.8,-0.1999664,-12955.8
22.55,67.7,-415.95,26.03824,-6935.0,27.40001,-12971.8
4.65,304.95,-403.85,26.06647,-6922.2,-11.8,-12953.2
10.6,238.7,-401.2,25.9347,-6957.0,-3.800003,-12968.2
41.99999,-49.05,-443.0,25.90647,-6973.802,10.40001,-12955.2
22.9,-209.95,-419.25,26.01941,-6925.8,10.0,-12968.4
6.7,83.70001,-400.2,26.15118,-6935.0,18.60001,-12912.0
5.550001,243.5,-402.4001,25.93941,-6910.4,-10.0,-12926.8
4.55,242.15,-388.8,26.03823,-6979.399,29.8,-12947.8
8.400001,145.25,-402.3999,25.98176,-6929.399,12.00002,-12970.4
-2.2,-299.55,-388.75,26.03353,-6944.4,20.60001,-12958.6
5.800001,39.1,-394.8,25.98647,-6881.6,27.60001,-12893.6
12.85,396.25,-405.6,25.98176,-6910.0,-6.599945,-12904.8
12.15,249.8,-402.9,26.03823,-6944.4,17.2,-12971.8
12.55,170.5,-397.85,25.96764,-6955.4,1.199997,-12967.8
6.900001,-29.95001,-393.1,26.00765,-6939.2,-0.8000031,-12956.6
1.6,159.6,-397.3,25.93706,-6972.6,-1.800003,-12947.8
15.1,284.25,-400.65,25.98412,-6976.2,16.80002,-12969.4
6.05,141.25,-399.95,25.94882,-6983.399,7.400009,-12979.2
6.45,6.100003,-398.2,25.89236,-6940.0,6.600006,-12987.0
5.150001,109.15,-402.8,25.95353,-6926.402,12.20001,-12936.4
10.05,179.7,-398.6,26.01471,-6935.199,6.400009,-12974.6
12.0,185.35,-399.55,25.94647,-6972.801,3.0,-12971.2
7.199999,38.75,-403.05,25.99588,-7000.799,2.599991,-12957.8
9.499999,169.15,-395.9,25.98647,-7008.599,13.59999,-12952.2
15.85,172.2,-399.65,26.00765,-6994.4,10.79999,-12969.4
36.65,-196.0,-454.1501,25.92294,-7003.601,-4.600006,-12989.8
12.1,224.8,-402.95,25.98412,-6937.4,6.399994,-12941.6
11.2,115.45,-399.4,26.07823,-6964.799,22.2,-12986.0
6.8,98.65,-395.1499,26.07118,-6961.6,-4.399979,-12962.6
7.099999,73.99999,-401.15,26.03118,-6957.799,-13.0,-12946.0
7.650001,157.05,-401.6,26.06647,-6932.799,3.199997,-12975.8
7.7,44.35,-396.45,26.12059,-6970.8,12.99999,-12949.6
18.3,24.0,-414.25,25.93235,-6933.801,7.800003,-12954.4
6.65,130.45,-399.9,26.06883,-6964.2,19.39999,-12959.2
3.55,83.85,-396.1499,26.07824,-6973.601,28.8,-12949.4
13.5,221.95,-407.45,26.07353,-6899.601,27.0,-12954.2
33.3,96.15,-427.8999,26.04765,-6951.002,1.800003,-12958.8
34.85,188.0,-431.4,25.91353,-6944.402,0.0,-12962.8
2.1,14.50001,-398.0,26.12294,-6967.6,17.99999,-12948.0
7.599999,257.25,-402.75,25.91823,-6933.8,-0.4000092,-12947.0
11.35,-19.95,-396.8,25.95824,-6992.799,4.199966,-13012.8
2.35,166.35,-396.7999,25.93235,-6974.4,7.599991,-12972.4
4.05,121.3,-392.05,26.03117,-6975.399,12.40003,-13006.6
6.0,43.7,-396.6,26.04059,-6952.801,6.800018,-12962.0
7.55,98.4,-402.05,25.97,-6975.8,6.400009,-12957.8
-8.0,305.6,-375.25,26.03588,-7001.599,-7.399994,-12955.4
13.15,205.95,-400.8,25.99588,-6985.999,17.40003,-12969.2
6.95,140.15,-399.9,26.00059,-7020.6,4.600006,-12990.4
3.650001,113.0,-398.1,26.04059,-7015.999,12.39999,-12985.6
5.95,-15.45,-394.2,25.94412,-6966.802,-5.399979,-12993.4
9.150002,308.7501,-402.95,25.94412,-6961.6,19.2,-12991.8
5.5,104.0,-396.85,26.11353,-6990.201,-8.0,-12987.4
0.04999995,190.3,-386.05,25.97941,-7004.6,2.800018,-13023.4
7.75,82.35,-394.9,26.05941,-6956.199,-14.39999,-13023.0
27.15,-182.45,-433.75,26.06647,-7041.999,-14.80003,-12954.0
6.650001,238.85,-402.15,26.02882,-6980.4,-3.800003,-12983.2
6.699999,126.1,-399.8,25.89941,-6993.399,6.999985,-12972.0
12.45,318.8,-401.3,25.91588,-6986.999,7.400009,-12987.8
6.6,131.6,-402.15,25.99118,-6998.001,15.59999,-12999.6
26.2,104.95,-415.7001,26.03118,-7063.599,-4.400009,-12997.4
5.9,108.1,-398.4,26.00765,-6993.999,-29.2,-12975.4
6.35,110.6,-395.45,26.18883,-7005.601,29.0,-13008.6
6.2,139.8,-398.15,26.16059,-6984.001,23.80002,-13011.2
9.150001,211.15,-400.25,26.08294,-6984.8,11.20001,-12999.4
5.3,57.5,-401.15,26.00059,-7029.398,8.600021,-13007.8
5.5,77.5,-402.35,25.99588,-6992.599,2.0,-12982.6
5.45,90.8,-400.65,25.91588,-6984.802,13.59999,-12977.2
8.0,215.7,-401.1,26.12294,-7026.8,25.60001,-12979.4
11.8,236.1,-400.55,25.98882,-7025.402,13.39999,-13007.4
8.9,109.05,-399.6,25.94883,-7026.799,-8.800018,-13008.2
24.75,29.1,-428.2001,26.09235,-7051.601,4.199982,-12994.4
6.25,65.59999,-392.0,26.08059,-7024.4,-0.8000031,-13014.8
5.200001,215.85,-401.7,26.08059,-7009.4,-11.0,-13006.2
4.65,-53.85,-393.75,26.03118,-7011.8,21.39999,-12999.4
17.2,277.85,-416.1,26.25,-6976.2,1.0,-13022.6
4.599999,25.65,-398.25,26.02176,-7021.0,14.60004,-13023.0
18.05,43.6,-406.25,26.09706,-7018.0,12.20001,-13016.0
5.050001,31.3,-397.2,26.03588,-7017.799,10.2,-13015.6
28.25,212.9,-414.5,26.06882,-6981.799,11.8,-12977.8
39.55,313.2,-448.65,26.09,-7038.799,3.799988,-13023.8
16.5,316.0,-404.05,26.09941,-7044.2,-11.2,-13039.2
12.55,79.70001,-413.4,26.08294,-7066.599,-6.400009,-13034.8
-0.5000001,10.9,-400.65,25.89941,-7050.2,2.799988,-13002.0
21.3,-216.1,-414.0999,26.03118,-7000.6,-23.60002,-13004.8
24.5,-26.25,-427.4,26.14176,-7011.802,-31.99999,-13009.4
25.3,268.5,-423.95,25.94882,-6983.599,6.400024,-12970.0
26.7,278.7,-425.0499,26.05235,-7037.4,20.79999,-13010.2
7.250001,101.9,-400.5,26.1253,-7047.199,40.0,-13000.8
9.5,170.6,-402.05,26.04294,-6989.001,8.599991,-12991.2
-29.85,168.65,-354.5,26.20529,-6997.999,5.199997,-13006.6
10.15,285.95,-398.75,26.06647,-7044.0,11.0,-13029.8
27.3,305.25,-419.1,26.16059,-7026.0,13.20003,-13031.4
63.2,-67.05,-475.7,26.06412,-7032.0,0.6000214,-13027.2
64.95,-216.8499,-476.3999,26.13,-7042.801,55.39999,-12985.6
20.75,362.7,-412.9,26.08059,-6990.201,27.59998,-12989.0
-1.8,491.6999,-386.85,25.95588,-7089.2,1.000015,-13041.2
12.4,215.2,-400.5,26.16529,-7089.199,-10.79997,-13067.8
43.25,-27.8,-452.4,25.99118,-7081.001,-0.2000122,-13089.4
22.9,149.2,-417.85,26.09471,-7089.401,-0.8000031,-13035.2
28.15,142.4,-412.0,26.07823,-7040.2,13.0,-13056.0
12.05,-139.55,-410.1,26.09,-7097.001,7.199997,-13026.4
12.1,182.2,-405.55,26.16059,-7034.201,-1.399994,-13032.6
54.25,257.5,-455.8,26.10177,-7092.198,-10.20001,-13065.6
48.4,-71.94999,-459.3,25.99588,-7045.0,5.799988,-13029.2
27.8,161.0,-424.85,26.11118,-7073.8,1.400024,-13064.0
42.25,122.5,-445.0,26.02647,-7048.198,28.60001,-13030.0
22.4,-29.64999,-413.15,25.97941,-7062.999,17.40004,-13038.8
74.65001,149.9,-494.85,26.01236,-7052.199,4.0,-13007.2
34.3,5.399999,-434.6,26.09706,-7063.6,9.599991,-13015.6
26.0,199.85,-421.4,26.13,-7037.0,-7.000015,-13003.0
8.599999,-93.89999,-396.2,26.12059,-7065.6,18.99999,-13043.4
6.999999,307.9,-400.25,26.13235,-7017.6,15.79999,-13018.4
-0.1000001,-52.2,-395.8,26.13,-7038.4,7.600021,-13038.2
8.200001,35.95,-394.8,26.06412,-7018.402,-1.199966,-13000.8
7.3,178.25,-397.7,26.07823,-7035.199,-2.999985,-12989.4
51.15,276.35,-450.0999,26.06412,-6999.198,7.999985,-12999.6
-24.55,15.45,-352.1,26.11824,-7014.6,0.4000244,-13029.8
12.55,-11.55,-410.5,26.11588,-7037.199,35.39999,-12999.8
-30.3,226.0,-353.1001,26.00294,-6987.601,-1.599976,-12979.4
-55.59999,528.45,-306.35,26.09706,-7067.4,8.200012,-13058.0
-1.65,425.95,-377.05,26.12059,-7110.801,4.799988,-13048.4
-26.15,346.55,-349.0999,26.01941,-7111.399,16.19998,-13026.4
-20.0,369.2,-362.05,26.17706,-7133.0,13.80002,-13093.6
-29.35,53.69999,-349.5,25.95588,-7170.0,25.40001,-13134.6
-14.8,234.65,-370.5,26.12059,-7155.8,30.20003,-13081.8
12.1,141.0,-398.85,25.95118,-7190.601,2.199997,-13090.0
8.45,144.35,-398.05,26.11824,-7186.999,10.8,-13092.6
7.35,248.3,-403.6,26.1253,-7162.999,16.39999,-13112.2
19.8,47.65001,-416.9,26.07118,-7132.0,5.800018,-13093.2
4.2,50.0,-404.45,26.12765,-7171.399,17.20001,-13111.4
11.95,251.75,-400.0,26.02177,-7172.6,24.40001,-13055.6
7.650001,199.6,-400.85,26.08529,-7172.0,-1.999985,-13119.2
8.400002,138.1,-395.75,26.06647,-7165.8,6.399994,-13123.0
7.55,117.15,-395.65,26.16529,-7206.201,3.999985,-13118.6
3.8,-60.70001,-393.95,26.03118,-7154.4,4.399963,-13121.2
-61.65001,298.8,-300.35,26.13941,-7190.2,31.40001,-13135.0
-24.0,183.55,-355.5,26.04294,-7221.399,-14.0,-13148.0
13.4,189.0,-395.1,26.05235,-7236.0,5.400024,-13169.0
6.35,144.55,-400.55,26.04529,-7233.999,-4.200012,-13189.8
10.95,72.05,-395.8,26.29706,-7210.0,3.200012,-13143.0
43.85,46.35,-449.15,26.03588,-7203.401,24.20001,-13117.2
20.05,27.4,-410.95,26.16765,-7217.199,7.600006,-13172.8
5.1,153.1,-396.0,25.99824,-7192.4,11.2,-13109.0
-7.55,207.65,-382.6,26.13,-7215.0,11.39999,-13139.8
4.4,18.65,-393.85,26.04765,-7225.601,34.60001,-13146.6
0.15,-38.7,-394.65,26.14647,-7167.199,-0.5999908,-13134.0
4.799999,26.5,-396.5,26.04294,-7193.399,19.2,-13119.2
1.1,194.15,-394.65,26.01236,-7160.398,4.600006,-13137.2
13.4,44.3,-396.75,26.03823,-7210.801,12.20001,-13125.4
26.3,94.5,-418.5501,26.09236,-7181.199,0.0,-13106.6
16.7,48.40001,-416.8499,26.25,-7216.2,34.60002,-13102.2
6.05,189.45,-399.15,26.18412,-7191.601,7.800018,-13100.6
6.0,173.7,-393.35,26.03823,-7182.2,8.0,-13143.6
8.9,183.45,-399.7,26.22411,-7214.201,24.20001,-13154.8
4.5,94.25002,-400.7,26.17706,-7194.599,24.8,-13167.2
6.0,-4.150002,-401.6,26.21235,-7190.2,-8.399994,-13147.0
4.75,-57.7,-400.35,26.13,-7188.199,14.80002,-13129.4
1.25,-24.4,-394.9,26.04765,-7171.6,-10.99998,-13118.4
5.4,195.7,-401.3,26.03353,-7156.0,11.60001,-13065.8
10.8,127.6,-403.3,26.09,-7161.399,5.000015,-13112.4
7.050001,112.9,-392.75,26.13941,-7186.601,16.2,-13131.0
